S No.,Tag,URL,Names,title,Year
28,ERIC ANDRE: LEGALIZE EVERYTHING (2020),https://scrapsfromtheloft.com/2020/06/25/eric-andre-legalize-everything-transcript/,ERIC ANDRE,ERIC ANDRE: LEGALIZE EVERYTHING ,2020.0
29,ROY WOOD JR.: FATHER FIGURE (2017) – FULL TRANSCRIPT,https://scrapsfromtheloft.com/2020/06/22/roy-wood-jr-father-figure-transcript/,ROY WOOD JR.,ROY WOOD JR.: FATHER FIGURE ,2017.0
30,Dave Chappelle: Hbo Comedy Half-Hour (1998) – Transcript,https://scrapsfromtheloft.com/2020/06/19/dave-chappelle-hbo-comedy-half-hour-1998-transcript/,Dave Chappelle,Dave Chappelle: Hbo Comedy Half,1998.0
31,Mark Normand: Don’t Be Yourself (2017) – Transcript,https://scrapsfromtheloft.com/2020/06/13/mark-normand-dont-be-yourself-transcript/,Mark Normand,Mark Normand: Don’t Be Yourself ,2017.0
32,DOUG STANHOPE: FEAR OF AN EMPTY BED [TRANSCRIPT],https://scrapsfromtheloft.com/2020/06/09/doug-stanhope-fear-of-an-empty-bed-transcript/,DOUG STANHOPE,DOUG STANHOPE: FEAR OF AN EMPTY BED ,
33,Chris Gethard: Career Suicide (2017) – Transcript,https://scrapsfromtheloft.com/2020/06/02/chris-gethard-career-suicide-transcript/,Chris Gethard,Chris Gethard: Career Suicide ,2017.0
34,RAMY YOUSSEF: FEELINGS (2019) – FULL TRANSCRIPT,https://scrapsfromtheloft.com/2020/06/01/ramy-youssef-feelings-transcript/,RAMY YOUSSEF,RAMY YOUSSEF: FEELINGS ,2019.0
35,KENNY SEBASTIAN DON’T BE THAT GUY (2017) – FULL TRANSCRIPT,https://scrapsfromtheloft.com/2020/06/01/kenny-sebastian-dont-be-that-guy-transcript/,KENNY SEBASTIAN DON,KENNY SEBASTIAN DON’T BE THAT GUY ,2017.0
36,BILLY CONNOLLY: HIGH HORSE TOUR LIVE (2016) – FULL TRANSCRIPT,https://scrapsfromtheloft.com/2020/05/27/billy-connolly-high-horse-tour-live-transcript/,BILLY CONNOLLY,BILLY CONNOLLY: HIGH HORSE TOUR LIVE ,2016.0
37,HANNAH GADSBY: DOUGLAS (2020) – FULL TRANSCRIPT,https://scrapsfromtheloft.com/2020/05/26/hannah-gadsby-douglas-transcript/,HANNAH GADSBY,HANNAH GADSBY: DOUGLAS ,2020.0
38,Hasan Minhaj: Homecoming King (2017) – Transcript,https://scrapsfromtheloft.com/2020/05/21/hasan-minhaj-homecoming-king-transcript/,Hasan Minhaj,Hasan Minhaj: Homecoming King ,2017.0
