S No.,Tag,URL,Names,title,Year
118,Nate Bargatze: The Tennessee Kid (2019) – Full Transcript,https://scrapsfromtheloft.com/2019/04/05/nate-bargatze-the-tennessee-kid-transcript/,Nate Bargatze,Nate Bargatze: The Tennessee Kid ,2019.0
119,W. Kamau Bell: Private School Negro (2018) – Transcript,https://scrapsfromtheloft.com/2019/04/05/w-kamau-bell-private-school-negro-transcript/,W. Kamau Bell,W. Kamau Bell: Private School Negro ,2018.0
120,Kevin Hart: Irresponsible (2019) – Transcript,https://scrapsfromtheloft.com/2019/04/05/kevin-hart-irresponsible-transcript/,Kevin Hart,Kevin Hart: Irresponsible ,2019.0
121,Nate Bargatze: Full Time Magic (2015) – Full Transcript,https://scrapsfromtheloft.com/2019/03/27/nate-bargatze-full-time-magic-transcript/,Nate Bargatze,Nate Bargatze: Full Time Magic ,2015.0
122,Amy Schumer: Growing (2019) – Full Transcript,https://scrapsfromtheloft.com/2019/03/23/amy-schumer-growing-transcript/,Amy Schumer,Amy Schumer: Growing ,2019.0
123,Ricky Gervais: 2011 Golden Globes Opening Monologue,https://scrapsfromtheloft.com/2019/03/18/ricky-gervais-2011-golden-globes-opening-monologue/,Ricky Gervais,Ricky Gervais: 2011 Golden Globes Opening Monologue,2011.0
124,Ricky Gervais: 2016 Golden Globes Opening Monologue,https://scrapsfromtheloft.com/2019/03/18/ricky-gervais-2016-golden-globes-opening-monologue/,Ricky Gervais,Ricky Gervais: 2016 Golden Globes Opening Monologue,2016.0
125,Enissa Amani: Ehrenwort (2018) Full Transcript,https://scrapsfromtheloft.com/2019/02/19/enissa-amani-ehrenwort-2018-full-transcript/,Enissa Amani,Enissa Amani: Ehrenwort ,2018.0
126,"Ken Jeong: You Complete Me, Ho (2019) – Full Transcript",https://scrapsfromtheloft.com/2019/02/17/ken-jeong-you-complete-me-ho-transcript/,Ken Jeong,"Ken Jeong: You Complete Me, Ho ",2019.0
127,"Ray Romano: Right Here, Around the Corner (2019) – Full Transcript",https://scrapsfromtheloft.com/2019/02/12/ray-romano-right-here-around-the-corner-transcript/,Ray Romano,"Ray Romano: Right Here, Around the Corner ",2019.0
128,Gabriel “Fluffy” Iglesias: One Show Fits All (2019) – Full Transcript,https://scrapsfromtheloft.com/2019/01/30/gabriel-fluffy-iglesias-one-show-fits-all-transcript/,Gabriel ,Gabriel ,2019.0
129,Sebastian Maniscalco: Stay Hungry (2019) – Full Transcript,https://scrapsfromtheloft.com/2019/01/29/sebastian-maniscalco-stay-hungry-transcript/,Sebastian Maniscalco,Sebastian Maniscalco: Stay Hungry ,2019.0
130,Latin History for Morons: John Leguizamo’s Road to Broadway (2018) – Transcript,https://scrapsfromtheloft.com/2019/01/27/latin-history-for-morons-john-leguizamo-transcript/,Latin History for Morons,Latin History for Morons: John Leguizamo’s Road to Broadway ,2018.0
131,Sebastian Maniscalco: Aren’t You Embarrassed? (2014) – Full Transcript,https://scrapsfromtheloft.com/2019/01/24/sebastian-maniscalco-arent-you-embarrassed-transcript/,Sebastian Maniscalco,Sebastian Maniscalco: Aren’t You Embarrassed? ,2014.0
132,Sebastian Maniscalco: What’s Wrong with People? (2012) – Full Transcript,https://scrapsfromtheloft.com/2019/01/24/sebastian-maniscalco-whats-wrong-with-people-transcript/,Sebastian Maniscalco,Sebastian Maniscalco: What’s Wrong with People? ,2012.0
133,"Oh, Hello On Broadway (2017) – Transcript",https://scrapsfromtheloft.com/2019/01/08/oh-hello-on-broadway-transcript/,Oh,"Oh, Hello On Broadway ",2017.0
134,Ellen Degeneres: Relatable (2018) – Transcript,https://scrapsfromtheloft.com/2018/12/22/ellen-degeneres-relatable-transcript/,Ellen Degeneres,Ellen Degeneres: Relatable ,2018.0
135,Pete Holmes: Dirty Clean (2018) – Full Transcript,https://scrapsfromtheloft.com/2018/12/19/pete-holmes-dirty-clean-transcript/,Pete Holmes,Pete Holmes: Dirty Clean ,2018.0
136,Vir Das: Losing It (2018) – Full Transcript,https://scrapsfromtheloft.com/2018/12/15/vir-das-losing-it-transcript/,Vir Das,Vir Das: Losing It ,2018.0
137,Volker Pispers about USA (2004) – Transcript,https://scrapsfromtheloft.com/2018/11/27/volker-pispers-about-usa-2004-transcript/,Volker Pispers about USA ,Volker Pispers about USA ,2004.0
138,Trevor Noah: Son of Patricia (2018) – Transcript,https://scrapsfromtheloft.com/2018/11/21/trevor-noah-son-of-patricia-transcript/,Trevor Noah,Trevor Noah: Son of Patricia ,2018.0
139,Jeff Foxworthy & Larry the Cable Guy: We’ve Been Thinking (2016) – Full Transcript,https://scrapsfromtheloft.com/2018/10/28/jeff-foxworthy-larry-the-cable-guy-weve-been-thinking-transcript/,Jeff Foxworthy ,Jeff Foxworthy ,2016.0
140,Adam Sandler: 100% Fresh (2018) – Full Transcript,https://scrapsfromtheloft.com/2018/10/26/adam-sandler-100-fresh-transcript/,Adam Sandler,Adam Sandler: 100% Fresh ,2018.0
141,Jeff Foxworthy: Totally Committed (1998) – Full Transcript,https://scrapsfromtheloft.com/2018/10/23/jeff-foxworthy-totally-committed-transcript/,Jeff Foxworthy,Jeff Foxworthy: Totally Committed ,1998.0
142,"RON WHITE: IF YOU QUIT LISTENING, I’LL SHUT UP (2018) – FULL TRANSCRIPT",https://scrapsfromtheloft.com/2018/10/19/ron-white-if-you-quit-listening-ill-shutup-transcript/,RON WHITE,"RON WHITE: IF YOU QUIT LISTENING, I’LL SHUT UP ",2018.0
143,Carlin at Carnegie (1983) – Full Transcript,https://scrapsfromtheloft.com/2018/10/15/carlin-at-carnegie-transcript/,Carlin at Carnegie ,Carlin at Carnegie ,1983.0
144,Comedy Central Presents: Tom Segura [S15e01] – Transcript,https://scrapsfromtheloft.com/2018/10/13/comedy-central-presents-tom-segura-s15e01-transcript/,Comedy Central Presents,Comedy Central Presents: Tom Segura ,
145,Mo Amer: The Vagabond (2018) – Full Transcript,https://scrapsfromtheloft.com/2018/10/11/mo-amer-the-vagabond-transcript/,Mo Amer,Mo Amer: The Vagabond ,2018.0
146,Joe Mande’s Award-Winning Comedy Special (2017) – Full Transcript,https://scrapsfromtheloft.com/2018/10/04/joe-mandes-award-winning-comedy-special-transcript/,Joe Mande,Joe Mande’s Award,2017.0
147,"Henry Rollins: Keep Talking, Pal (2018) – Full Transcript",https://scrapsfromtheloft.com/2018/10/04/henry-rollins-keep-talking-pal-transcript/,Henry Rollins,"Henry Rollins: Keep Talking, Pal ",2018.0
148,GEORGE CARLIN: SATURDAY NIGHT LIVE MONOLOGUE (1975) – FULL TRANSCRIPT,https://scrapsfromtheloft.com/2018/10/04/george-carlin-saturday-night-live-monologue1975-s01e01/,GEORGE CARLIN,GEORGE CARLIN: SATURDAY NIGHT LIVE MONOLOGUE ,1975.0
149,Joe Rogan: Strange Times (2018) – Full Transcript,https://scrapsfromtheloft.com/2018/10/03/joe-rogan-strange-times-transcript/,Joe Rogan,Joe Rogan: Strange Times ,2018.0
150,Louis C.K.: SNL Monologue S38E06 [11/03/12] – Full Transcript,https://scrapsfromtheloft.com/2018/10/02/louis-ck-snl-monologue-s38e06-2012-transcript/,Louis C.K.,Louis C.K.: SNL Monologue S38E06 ,
151,Louis C.K.: SNL Monologue S39E16 [03/29/14] – Full Transcript,https://scrapsfromtheloft.com/2018/10/02/louis-c-k-snl-monologue-march-29-2014-full-transcript/,Louis C.K.,Louis C.K.: SNL Monologue S39E16 ,
152,Sarah Silverman: Saturday Night Live Monologue – SEASON 40 | EPISODE 2 | 10/04/2014 – Transcript,https://scrapsfromtheloft.com/2018/10/02/sarah-silvermans-monologue-saturday-night-live-2014-transcript/,Sarah Silverman,Sarah Silverman: Saturday Night Live Monologue ,2014.0
153,"Louis C.K.: SNL Monologue May 16, 2015 – Full Transcript",https://scrapsfromtheloft.com/2018/09/30/louis-c-k-snl-monologue-2015-transcript/,Louis C.K.,"Louis C.K.: SNL Monologue May 16, 2015 ",2015.0
154,John Mulaney: Snl Monologue (2018) – Transcript,https://scrapsfromtheloft.com/2018/09/23/john-mulaney-snl-monologue-2018-transcript/,John Mulaney,John Mulaney: Snl Monologue ,2018.0
155,"David Chappelle: SNL monologue [November 12, 2016] – Transcript",https://scrapsfromtheloft.com/2018/09/23/david-chappelles-snl-monologue-2016-transcript/,David Chappelle,David Chappelle: SNL monologue ,2016.0
156,D.L. Hughley: Contrarian (2018) – Transcript,https://scrapsfromtheloft.com/2018/09/22/d-l-hughley-contrarian-transcript/,D.L. Hughley,D.L. Hughley: Contrarian ,2018.0
157,Daniel Sloss: Dark (2018) – Full Transcript,https://scrapsfromtheloft.com/2018/09/21/daniel-sloss-dark-transcript/,Daniel Sloss,Daniel Sloss: Dark ,2018.0
158,Daniel Sloss: Jigsaw (2018) – Full Transcript,https://scrapsfromtheloft.com/2018/09/18/daniel-sloss-jigsaw-transcript/,Daniel Sloss,Daniel Sloss: Jigsaw ,2018.0
159,Iliza Shlesinger: Freezing Hot (2015) – Full Transcript,https://scrapsfromtheloft.com/2018/09/13/iliza-shlesinger-freezing-hot-transcript/,Iliza Shlesinger,Iliza Shlesinger: Freezing Hot ,2015.0
160,Iliza Shlesinger: War Paint (2013) – Transcript,https://scrapsfromtheloft.com/2018/09/13/iliza-shlesinger-war-paint-transcript/,Iliza Shlesinger,Iliza Shlesinger: War Paint ,2013.0
161,Bert Kreischer: Secret Time (2018) – Transcript,https://scrapsfromtheloft.com/2018/08/25/bert-kreischer-secret-time-transcript/,Bert Kreischer,Bert Kreischer: Secret Time ,2018.0
162,"Dick Gregory: Speech at St. John’s Baptist Church, May 20, 1963 – Transcript",https://scrapsfromtheloft.com/2018/08/11/dick-gregory-speech-st-johns-baptist-church-may-20-1963/,Dick Gregory,"Dick Gregory: Speech at St. John’s Baptist Church, May 20, 1963 ",1963.0
163,Demetri Martin: The Overthinker (2018) – Full Transcript,https://scrapsfromtheloft.com/2018/08/11/demetri-martin-overthinker-transcript/,Demetri Martin,Demetri Martin: The Overthinker ,2018.0
164,BILL MAHER: LIVE FROM OKLAHOMA (2018) – Full Transcript,https://scrapsfromtheloft.com/2018/08/04/bill-maher-live-from-oklahoma-2018-full-transcript/,BILL MAHER,BILL MAHER: LIVE FROM OKLAHOMA ,2018.0
165,Rowan Atkinson Live (1992) – Transcript,https://scrapsfromtheloft.com/2018/08/04/rowan-atkinson-live-1992-transcript/,Rowan Atkinson Live ,Rowan Atkinson Live ,1992.0
166,Iliza Shlesinger: Confirmed Kills (2016) – Full Transcript,https://scrapsfromtheloft.com/2018/07/31/iliza-shlesinger-confirmed-kills-transcript/,Iliza Shlesinger,Iliza Shlesinger: Confirmed Kills ,2016.0
167,Iliza Shlesinger: Elder Millennial (2018) – Full Transcript,https://scrapsfromtheloft.com/2018/07/30/iliza-shlesinger-elder-millennial-2018-full-transcript/,Iliza Shlesinger,Iliza Shlesinger: Elder Millennial ,2018.0
168,JIM GAFFIGAN: NOBLE APE (2018) – Full Transcript,https://scrapsfromtheloft.com/2018/07/26/jim-gaffigan-noble-ape-full-transcript/,JIM GAFFIGAN,JIM GAFFIGAN: NOBLE APE ,2018.0
169,Jim Norton: Contextually Inadequate (2015) – Transcript,https://scrapsfromtheloft.com/2018/07/23/jim-norton-contextually-inadequate-full-transcript/,Jim Norton,Jim Norton: Contextually Inadequate ,2015.0
170,Hannah Gadsby: Nanette (2018) – Transcript,https://scrapsfromtheloft.com/2018/07/21/hannah-gadsby-nanette-transcript/,Hannah Gadsby,Hannah Gadsby: Nanette ,2018.0
171,BRAD WILLIAMS: DADDY ISSUES (2016) – Full Transcript,https://scrapsfromtheloft.com/2018/07/20/brad-williams-daddy-issues-transcript/,BRAD WILLIAMS,BRAD WILLIAMS: DADDY ISSUES ,2016.0
172,Deray Davis: How To Act Black (2017) – Transcript,https://scrapsfromtheloft.com/2018/07/18/deray-davis-how-to-act-black-transcript/,Deray Davis,Deray Davis: How To Act Black ,2017.0
173,RICKY GERVAIS: LIVE IV – SCIENCE (2010) – Full Transcript,https://scrapsfromtheloft.com/2018/07/18/ricky-gervais-live-iv-science-transcript/,RICKY GERVAIS,RICKY GERVAIS: LIVE IV ,2010.0
174,JIM JEFFERIES: THIS IS ME NOW (2018) – Full transcript,https://scrapsfromtheloft.com/2018/07/14/jim-jefferies-this-is-me-now-transcript/,JIM JEFFERIES,JIM JEFFERIES: THIS IS ME NOW ,2018.0
175,Bill Burr: The Philadelphia Incident (2006) – Transcript,https://scrapsfromtheloft.com/2018/07/06/bill-burr-the-philadelphia-incident-2006-transcript/,Bill Burr,Bill Burr: The Philadelphia Incident ,2006.0
176,RUSSELL PETERS: OUTSOURCED (2006) – Full Transcript,https://scrapsfromtheloft.com/2018/07/02/russell-peters-outsourced-transcript/,RUSSELL PETERS,RUSSELL PETERS: OUTSOURCED ,2006.0
177,RUSSELL PETERS: ALMOST FAMOUS (2016) – Full Transcript,https://scrapsfromtheloft.com/2018/06/29/russell-peters-almost-famous-2016-full-transcript/,RUSSELL PETERS,RUSSELL PETERS: ALMOST FAMOUS ,2016.0
178,RON WHITE: A LITTLE UNPROFESSIONAL (2012) – Full Transcript,https://scrapsfromtheloft.com/2018/06/22/ron-white-a-little-unprofessional-transcript/,RON WHITE,RON WHITE: A LITTLE UNPROFESSIONAL ,2012.0
179,MICHAEL MCINTYRE: HELLO WEMBLEY! (2009) – Full Transcript,https://scrapsfromtheloft.com/2018/06/13/michael-mcintyre-hello-wembley-transcript/,MICHAEL MCINTYRE,MICHAEL MCINTYRE: HELLO WEMBLEY! ,2009.0
180,KEVIN SMITH: SILENT BUT DEADLY (2018) – Full Transcript,https://scrapsfromtheloft.com/2018/06/05/kevin-smith-silent-but-deadly-transcript/,KEVIN SMITH,KEVIN SMITH: SILENT BUT DEADLY ,2018.0
181,KEVIN JAMES: NEVER DON’T GIVE UP (2018) – Full Transcript,https://scrapsfromtheloft.com/2018/05/27/kevin-james-never-dont-give-up-full-transcript/,KEVIN JAMES,KEVIN JAMES: NEVER DON’T GIVE UP ,2018.0
182,TREVOR NOAH: LIVE AT THE O2 LONDON (2018) – PRINCE HARRY & MEGHAN MARKLE’S ROYAL WEDDING,https://scrapsfromtheloft.com/2018/05/23/trevor-noah-royal-wedding-2018/,TREVOR NOAH,TREVOR NOAH: LIVE AT THE O2 LONDON ,2018.0
183,BRENT MORIN: I’M BRENT MORIN (2015) – Full Transcript,https://scrapsfromtheloft.com/2018/05/20/brent-morin-im-brent-morin-2015-full-transcript/,BRENT MORIN,BRENT MORIN: I’M BRENT MORIN ,2015.0
184,NIKKI GLASER: PERFECT (2016) – Full Transcript,https://scrapsfromtheloft.com/2018/05/16/nikki-glaser-perfect-2016-full-transcript/,NIKKI GLASER,NIKKI GLASER: PERFECT ,2016.0
185,DOUG STANHOPE ON NATIONALISM,https://scrapsfromtheloft.com/2018/05/16/doug-stanhope-on-nationalism/,DOUG STANHOPE ON NATIONALISM,DOUG STANHOPE ON NATIONALISM,
186,Ali Wong: Hard Knock Wife (2018) – Transcript,https://scrapsfromtheloft.com/2018/05/15/ali-wong-hard-knock-wife-full-transcript/,Ali Wong,Ali Wong: Hard Knock Wife ,2018.0
187,KAVIN JAY: EVERYBODY CALM DOWN! (2018) – Full Transcript,https://scrapsfromtheloft.com/2018/05/06/kavin-jay-everybody-calm-down-full-transcript/,KAVIN JAY,KAVIN JAY: EVERYBODY CALM DOWN! ,2018.0
188,John Mulaney: Kid Gorgeous At Radio City (2018) – Transcript,https://scrapsfromtheloft.com/2018/05/05/john-mulaney-kid-gorgeous-at-radio-city-full-transcript/,John Mulaney,John Mulaney: Kid Gorgeous At Radio City ,2018.0
189,Eddie Griffin: Undeniable (2018) – Transcript,https://scrapsfromtheloft.com/2018/05/01/eddie-griffin-undeniable-2018-full-transcript/,Eddie Griffin,Eddie Griffin: Undeniable ,2018.0
190,GREG DAVIES: YOU MAGNIFICENT BEAST (2018) – Full Transcript,https://scrapsfromtheloft.com/2018/04/27/greg-davies-you-magnificent-beast-full-transcript/,GREG DAVIES,GREG DAVIES: YOU MAGNIFICENT BEAST ,2018.0
191,COMEDY CENTRAL PRESENTS: PATTON OSWALT (1999) – Full Transcript,https://scrapsfromtheloft.com/2018/04/20/comedy-central-patton-oswalt-1999-full-transcript/,COMEDY CENTRAL PRESENTS,COMEDY CENTRAL PRESENTS: PATTON OSWALT ,1999.0
192,RICKY GERVAIS: 2012 GOLDEN GLOBES OPENING MONOLOGUE,https://scrapsfromtheloft.com/2018/03/27/ricky-gervais-2012-golden-globes-opening-monologue/,RICKY GERVAIS,RICKY GERVAIS: 2012 GOLDEN GLOBES OPENING MONOLOGUE,2012.0
193,Marlon Wayans: Woke-Ish (2018) – Transcript,https://scrapsfromtheloft.com/2018/03/21/marlon-wayans-wokeish-transcript/,Marlon Wayans,Marlon Wayans: Woke,2018.0
194,RICKY GERVAIS: HUMANITY (2018) – Full Transcript,https://scrapsfromtheloft.com/2018/03/15/ricky-gervais-humanity-transcript/,RICKY GERVAIS,RICKY GERVAIS: HUMANITY ,2018.0
195,ADEL KARAM: LIVE FROM BEIRUT (2018) – Full Transcript,https://scrapsfromtheloft.com/2018/03/12/adel-karam-live-from-beirut-transcript/,ADEL KARAM,ADEL KARAM: LIVE FROM BEIRUT ,2018.0
196,STEWART LEE: 90s COMEDIAN (2006) – Full Transcript,https://scrapsfromtheloft.com/2018/03/06/stewart-lee-90s-comedian-2006-full-transcript/,STEWART LEE,STEWART LEE: 90s COMEDIAN ,2006.0
197,MIKE BIRBIGLIA: MY GIRLFRIEND’S BOYFRIEND (2013) – Full Transcript,https://scrapsfromtheloft.com/2018/03/03/mike-birbiglia-my-girlfriends-boyfriend-2013-full-transcript/,MIKE BIRBIGLIA,MIKE BIRBIGLIA: MY GIRLFRIEND’S BOYFRIEND ,2013.0
198,DAVE ATTELL: ROAD WORK (2014) – Full Transcript,https://scrapsfromtheloft.com/2018/02/25/dave-attell-road-work-transcript/,DAVE ATTELL,DAVE ATTELL: ROAD WORK ,2014.0
199,EDDIE IZZARD – GLORIOUS (1997) – Full Transcript,https://scrapsfromtheloft.com/2018/02/22/eddie-izzard-glorious-1997-full-transcript/,EDDIE IZZARD ,EDDIE IZZARD ,1997.0
200,Chris Rock: Bring the Pain (1996) – Transcript,https://scrapsfromtheloft.com/2018/02/17/chris-rock-bring-pain-transcript/,Chris Rock,Chris Rock: Bring the Pain ,1996.0
201,ARI SHAFFIR: DOUBLE NEGATIVE (2017) – Full Transcript,https://scrapsfromtheloft.com/2018/02/17/ari-shaffir-double-negative-transcript/,ARI SHAFFIR,ARI SHAFFIR: DOUBLE NEGATIVE ,2017.0
202,Chris Rock: Tamborine (2018) – Transcript,https://scrapsfromtheloft.com/2018/02/15/chris-rock-tamborine-transcript/,Chris Rock,Chris Rock: Tamborine ,2018.0
203,FRED ARMISEN: STANDUP FOR DRUMMERS (2018) – Full Transcript,https://scrapsfromtheloft.com/2018/02/13/fred-armisen-standup-for-drummers-transcript/,FRED ARMISEN,FRED ARMISEN: STANDUP FOR DRUMMERS ,2018.0
204,"DANA CARVEY: STRAIGHT WHITE MALE, 60 (2016) – Full Transcript",https://scrapsfromtheloft.com/2018/02/11/dana-carvey-straight-white-male-60-2016-full-transcript/,DANA CARVEY,"DANA CARVEY: STRAIGHT WHITE MALE, 60 ",2016.0
205,EDDIE IZZARD: STRIPPED (2009) – Full Transcript,https://scrapsfromtheloft.com/2018/02/08/eddie-izzard-stripped-2009-full-transcript/,EDDIE IZZARD,EDDIE IZZARD: STRIPPED ,2009.0
206,TODD GLASS: ACT HAPPY (2018) – Full Transcript,https://scrapsfromtheloft.com/2018/01/30/todd-glass-act-happy-transcript/,TODD GLASS,TODD GLASS: ACT HAPPY ,2018.0
207,BRIAN REGAN: STANDING UP (2007) – Full Transcript,https://scrapsfromtheloft.com/2018/01/29/brian-regan-standing-up-2007-full-transcript/,BRIAN REGAN,BRIAN REGAN: STANDING UP ,2007.0
208,BRIAN REGAN: NUNCHUCKS AND FLAMETHROWERS (2017) – Full Transcript,https://scrapsfromtheloft.com/2018/01/28/brian-regan-nunchucks-flamethrowers-transcript/,BRIAN REGAN,BRIAN REGAN: NUNCHUCKS AND FLAMETHROWERS ,2017.0
209,Katt Williams: Great America (2018) – Transcript,https://scrapsfromtheloft.com/2018/01/27/katt-williams-great-america-transcript/,Katt Williams,Katt Williams: Great America ,2018.0
210,JIMMY CARR: BEING FUNNY (2011) – Full Transcript,https://scrapsfromtheloft.com/2018/01/25/jimmy-carr-being-funny-transcript/,JIMMY CARR,JIMMY CARR: BEING FUNNY ,2011.0
211,JIMMY CARR: LAUGHING AND JOKING (2013) – Full Transcript,https://scrapsfromtheloft.com/2018/01/23/jimmy-carr-laughing-and-joking-2013-full-transcript/,JIMMY CARR,JIMMY CARR: LAUGHING AND JOKING ,2013.0
212,EDDIE IZZARD: UNREPEATABLE (1994) – Full Transcript,https://scrapsfromtheloft.com/2018/01/21/eddie-izzard-unrepeatable-transcript/,EDDIE IZZARD,EDDIE IZZARD: UNREPEATABLE ,1994.0
213,D.L. Hughley: Unapologetic (2007) – Transcript,https://scrapsfromtheloft.com/2018/01/19/d-l-hughley-unapologetic-transcript/,D.L. Hughley,D.L. Hughley: Unapologetic ,2007.0
214,BRIDGET EVERETT: GYNECOLOGICAL WONDER (2015) – Full Transcript,https://scrapsfromtheloft.com/2018/01/19/bridget-everett-gynecological-wonder-2015-full-transcript/,BRIDGET EVERETT,BRIDGET EVERETT: GYNECOLOGICAL WONDER ,2015.0
215,Chris Rock: Never Scared (2004) – Transcript,https://scrapsfromtheloft.com/2018/01/19/chris-rock-never-scared-2004-full-transcript/,Chris Rock,Chris Rock: Never Scared ,2004.0
216,Stewart Lee: Stand-Up Comedian (2005) – Transcript,https://scrapsfromtheloft.com/2018/01/17/stewart-lee-standup-comedian-full-transcript/,Stewart Lee,Stewart Lee: Stand,2005.0
217,JIMMY CARR: FUNNY BUSINESS (2016) – Full Transcript,https://scrapsfromtheloft.com/2018/01/17/jimmy-carr-funny-business-transcript/,JIMMY CARR,JIMMY CARR: FUNNY BUSINESS ,2016.0
218,Eddie Izzard: Dress To Kill (1999) – Transcript,https://scrapsfromtheloft.com/2018/01/15/eddie-izzard-dress-kill-1999-full-transcript/,Eddie Izzard,Eddie Izzard: Dress To Kill ,1999.0
219,Chris Tucker: Live (2015) – Transcript,https://scrapsfromtheloft.com/2018/01/14/chris-tucker-live-2015-transcript/,Chris Tucker,Chris Tucker: Live ,2015.0
220,Kevin Hart: What Now (2016) – Transcript,https://scrapsfromtheloft.com/2018/01/14/kevin-hart-what-now-2016-full-transcript/,Kevin Hart,Kevin Hart: What Now ,2016.0
221,Kevin Hart: Let Me Explain (2013) – Transcript,https://scrapsfromtheloft.com/2018/01/14/kevin-hart-let-me-explain-2013-full-transcript/,Kevin Hart,Kevin Hart: Let Me Explain ,2013.0
222,Tom Segura: Disgraceful (2018) – Transcript,https://scrapsfromtheloft.com/2018/01/13/tom-segura-disgraceful-2018-full-transcript/,Tom Segura,Tom Segura: Disgraceful ,2018.0
223,"BILL HICKS: LIVE AT LAFF STOP, AUSTIN, TX, AND COBBS, SAN FRANCISCO, CA (1993) – Full Transcript",https://scrapsfromtheloft.com/2018/01/12/bill-hicks-live-at-laff-stop-austin-tx-and-cobbs-san-francisco-ca-1993/,BILL HICKS,"BILL HICKS: LIVE AT LAFF STOP, AUSTIN, TX, AND COBBS, SAN FRANCISCO, CA ",1993.0
224,MICHELLE WOLF: NICE LADY (2017) – Full Transcript,https://scrapsfromtheloft.com/2018/01/12/michelle-wolf-nice-lady-2017-full-transcript/,MICHELLE WOLF,MICHELLE WOLF: NICE LADY ,2017.0
225,FAHIM ANWAR: THERE’S NO BUSINESS LIKE SHOW BUSINESS (2017) – Transcript,https://scrapsfromtheloft.com/2018/01/10/fahim-anwar-theres-no-business-like-show-business-2017-full-transcript/,FAHIM ANWAR,FAHIM ANWAR: THERE’S NO BUSINESS LIKE SHOW BUSINESS ,2017.0
226,ELLEN DEGENERES: THE BEGINNING (2000) – Full Transcript,https://scrapsfromtheloft.com/2018/01/10/ellen-degeneres-the-beginning-2000-full-transcript/,ELLEN DEGENERES,ELLEN DEGENERES: THE BEGINNING ,2000.0
227,MAZ JOBRANI: IMMIGRANT (2017) – Full Transcript,https://scrapsfromtheloft.com/2018/01/09/maz-jobrani-immigrant-2017-full-transcript/,MAZ JOBRANI,MAZ JOBRANI: IMMIGRANT ,2017.0
228,TODD BARRY: SPICY HONEY (2017) – Full Transcript,https://scrapsfromtheloft.com/2018/01/08/todd-barry-spicy-honey-2017-full-transcript/,TODD BARRY,TODD BARRY: SPICY HONEY ,2017.0
229,JERRY SEINFELD: I’M TELLING YOU FOR THE LAST TIME (1998) – Full Transcript,https://scrapsfromtheloft.com/2018/01/07/jerry-seinfeld-im-telling-you-for-the-last-time-full-transcript/,JERRY SEINFELD,JERRY SEINFELD: I’M TELLING YOU FOR THE LAST TIME ,1998.0
230,Craig Ferguson: Does This Need To Be Said? (2011) – Transcript,https://scrapsfromtheloft.com/2018/01/07/craig-ferguson-does-this-need-to-be-said-transcript/,Craig Ferguson,Craig Ferguson: Does This Need To Be Said? ,2011.0
231,CRAIG FERGUSON: TICKLE FIGHT (2017) – Full Transcript,https://scrapsfromtheloft.com/2018/01/07/craig-ferguson-tickle-fight-2017-full-transcript/,CRAIG FERGUSON,CRAIG FERGUSON: TICKLE FIGHT ,2017.0
232,"DYLAN MORAN: LIKE, TOTALLY… (2006) – Full Transcript",https://scrapsfromtheloft.com/2018/01/05/dylan-moran-like-totally-2006-full-transcript/,DYLAN MORAN,"DYLAN MORAN: LIKE, TOTALLY",2006.0
233,DAVE CHAPPELLE: EQUANIMITY (2017) – Transcripción completa,https://scrapsfromtheloft.com/2018/01/05/dave-chappelle-equanimity-2017-transcripcion-completa/,DAVE CHAPPELLE,DAVE CHAPPELLE: EQUANIMITY ,2017.0
234,DAVE CHAPPELLE: THE BIRD REVELATION (2017) – Transcripción completa,https://scrapsfromtheloft.com/2018/01/05/dave-chappelle-bird-revelation-2017-transcripcion-completa/,DAVE CHAPPELLE,DAVE CHAPPELLE: THE BIRD REVELATION ,2017.0
235,DAVE CHAPPELLE: HBO HALF HOUR (1998) – Traduzione italiana,https://scrapsfromtheloft.com/2018/01/05/dave-chappelle-hbo-half-hour-1998-traduzione-italiana/,DAVE CHAPPELLE,DAVE CHAPPELLE: HBO HALF HOUR ,1998.0
236,TREVOR NOAH: LIVE AT THE APOLLO (2013) – Transcript,https://scrapsfromtheloft.com/2018/01/04/trevor-noah-live-at-the-apollo-2013-transcript/,TREVOR NOAH,TREVOR NOAH: LIVE AT THE APOLLO ,2013.0
237,Dave Chappelle: The Bird Revelation (2017) – Transcript,https://scrapsfromtheloft.com/2018/01/03/dave-chappelle-the-bird-revelation-2017-full-transcript/,Dave Chappelle,Dave Chappelle: The Bird Revelation ,2017.0
238,Dave Chappelle: Equanimity (2017) – Transcript,https://scrapsfromtheloft.com/2018/01/03/dave-chappelle-equanimity-2017-full-transcript/,Dave Chappelle,Dave Chappelle: Equanimity ,2017.0
239,CRAIG FERGUSON: I’M HERE TO HELP (2013) – Full Transcript,https://scrapsfromtheloft.com/2018/01/02/craig-ferguson-im-here-to-help-2013-full-transcript/,CRAIG FERGUSON,CRAIG FERGUSON: I’M HERE TO HELP ,2013.0
240,RUSSELL HOWARD: RECALIBRATE (2017) – Full Transcript,https://scrapsfromtheloft.com/2018/01/02/russell-howard-recalibrate-2017-full-transcript/,RUSSELL HOWARD,RUSSELL HOWARD: RECALIBRATE ,2017.0
